#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
;;xkh;xk;Karahawyana
;;obi;ob;Obispeño
;;lgq;lg;Logba
;;lec;le;Leco
;;qug;qu;Chimborazo Highland Quichua
;;wut;wu;Wutung
;;ntz;nt;Natanzi
;;gwg;gw;Moo
;;scu;sc;Shumcho
;;lol;lo;Mongo
;;alp;al;Alune
;;hed;he;Herdé
;;ayt;ay;Magbukun Ayta
;;msy;ms;Aruamu
;;axb;ax;Abipon
;;los;lo;Loniu
;;dhm;dh;Zemba
;;tyv;ty;Tuvinian
;;etz;et;Semimi
;;csa;cs;Chiltepec Chinantec
;;urg;ur;Urigina
;;bnz;bn;Beezen
;;oav;oa;Old Avar
;;bns;bn;Bundeli
;;qxa;qx;Chiquián Ancash Quechua
;;faj;fa;Faita
;;mvm;mv;Muya
;;hmb;hm;Humburi Senni Songhay
;;sbp;sb;Sangu (Tanzania)
;;kfa;kf;Kodava
;;bvi;bv;Belanda Viri
;;tbz;tb;Ditammari
;;ztg;zt;Xanaguía Zapotec
;;akf;ak;Akpa
;;shr;sh;Shi
;;njn;nj;Liangmai Naga
;;twc;tw;Teshenawa
;;srg;sr;Sulod
;;mrk;mr;Hmwaveke
;;saq;sa;Samburu
;;lmg;lm;Lamogai
;;pil;pi;Yom
;;urn;ur;Uruangnirin
;;zun;zu;Zuni
;;esm;es;Esuma
;;aok;ao;Arhö
;;zkb;zk;Koibal
;;cnk;cn;Khumi Chin
;;and;an;Ansus
;;maz;ma;Central Mazahua
;;kjs;kj;East Kewa
;;cua;cu;Cua
;;nfd;nf;Ahwai
;;hov;ho;Hovongan
;;osi;os;Osing
;;wem;we;Weme Gbe
;;biq;bi;Bipi
;;kqg;kq;Khe
;;nhy;nh;Northern Oaxaca Nahuatl
;;ngr;ng;Nanggu
;;vmz;vm;Mazatlán Mazatec
;;yds;yd;Yiddish Sign Language
;;knp;kn;Kwanja
;;sci;sc;Sri Lankan Creole Malay
;;cwb;cw;Maindo
;;eee;ee;E
;;buq;bu;Brem
;;slw;sl;Sialum
;;kgp;kg;Kaingang
;;omg;om;Omagua
;;kip;ki;Sheshi Kham
;;nzs;nz;New Zealand Sign Language
;;nbl;nb;South Ndebele
;;har;ha;Harari
;;boi;bo;Barbareño
;;hro;hr;Haroi
;;nbb;nb;Ndoe
;;jel;je;Yelmek
;;qun;qu;Quinault
;;lum;lu;Luimbi
;;hob;ho;Mari (Madang Province)
;;krt;kr;Tumari Kanuri
;;xut;xu;Kuthant
;;wad;wa;Wandamen
;;rnn;rn;Roon
;;kzr;kz;Karang
;;etc;et;Etchemin
;;tap;ta;Taabwa
;;seb;se;Shempire Senoufo
;;mym;my;Me'en
;;gvr;gv;Western Gurung
;;kib;ki;Koalib
;;doc;do;Northern Dong
;;tct;tc;T'en
;;ces;ce;Czech
;;apj;ap;Jicarilla Apache
;;zhi;zh;Zhire
;;tpw;tp;Tupí
;;lha;lh;Laha (Viet Nam)
;;kqe;kq;Kalagan
;;puc;pu;Punan Merap
;;cnt;cn;Tepetotutla Chinantec
;;djl;dj;Djiwarli
;;ney;ne;Neyo
;;mzx;mz;Mawayana
;;gmv;gm;Gamo
;;kht;kh;Khamti
;;jic;ji;Tol
;;uar;ua;Tairuma
;;phh;ph;Phukha
;;saj;sa;Sahu
;;plb;pl;Polonombauk
;;unx;un;Munda
;;bjj;bj;Kanauji
;;dao;da;Daai Chin
;;bbf;bb;Baibai
;;vam;va;Vanimo
;;urw;ur;Sop
;;mdx;md;Dizin
;;gaj;ga;Gadsup
;;rug;ru;Roviana
;;cad;ca;Caddo
;;bpd;bp;Banda-Banda
;;ybx;yb;Yawiyo
;;kaj;ka;Jju
;;ilo;il;Iloko
;;knf;kn;Mankanya
;;wbr;wb;Wagdi
;;tdt;td;Tetun Dili
;;sth;st;Shelta
;;cbt;cb;Chayahuita
;;aaw;aa;Solong
;;zmg;zm;Marti Ke
;;tof;to;Gizrra
;;sgd;sg;Surigaonon
;;tuv;tu;Turkana
;;tno;tn;Toromono
;;twl;tw;Tawara
;;bfi;bf;British Sign Language
;;nhu;nh;Noone
;;iru;ir;Irula
;;bdf;bd;Biage
;;mzq;mz;Mori Atas
;;lsd;ls;Lishana Deni
;;vis;vi;Vishavan
;;sqt;sq;Soqotri
;;omk;om;Omok
;;ptu;pt;Bambam
;;pmi;pm;Northern Pumi
;;kcc;kc;Lubila
;;tus;tu;Tuscarora
;;vum;vu;Vumbu
;;grq;gr;Gorovu
;;aqc;aq;Archi
;;acl;ac;Akar-Bale
;;lep;le;Lepcha
;;tnx;tn;Tanema
;;grc;gr;Ancient Greek (to 1453)
;;mfr;mf;Marithiel
;;lhh;lh;Laha (Indonesia)
;;dhv;dh;Dehu
;;mfy;mf;Mayo
;;nqm;nq;Ndom
;;bel;be;Belarusian
;;bal;ba;Baluchi
;;tpf;tp;Tarpia
;;dbm;db;Duguri
;;kci;kc;Kamantan
;;bvb;bv;Bube
;;lkb;lk;Kabras
;;wll;wl;Wali (Sudan)
;;nxi;nx;Nindi
;;lmp;lm;Limbum
;;lav;la;Latvian
;;thk;th;Tharaka
;;hra;hr;Hrangkhol
;;ims;im;Marsian
;;nco;nc;Sibe
;;laz;la;Aribwatsa
;;kke;kk;Kakabe
;;mrr;mr;Maria (India)
;;lso;ls;Laos Sign Language
;;abu;ab;Abure
;;set;se;Sentani
;;kya;ky;Kwaya
;;kje;kj;Kisar
;;kcn;kc;Nubi
;;trn;tr;Trinitario
;;jig;ji;Djingili
;;hld;hl;Halang Doan
;;job;jo;Joba
;;dme;dm;Dugwor
;;pis;pi;Pijin
;;psi;ps;Southeast Pashayi
;;pbp;pb;Badyara
;;vie;vi;Vietnamese
;;syn;sy;Senaya
;;ike;ik;Eastern Canadian Inuktitut
;;yzg;yz;E'ma Buyang
;;tvm;tv;Tela-Masbuar
;;met;me;Mato
;;pby;pb;Pyu
;;tru;tr;Turoyo
;;ora;or;Oroha
;;ctg;ct;Chittagonian
;;hik;hi;Seit-Kaitetu
;;pkn;pk;Pakanha
;;ors;or;Orang Seletar
;;bjy;bj;Bayali
;;cak;ca;Kaqchikel
;;zgr;zg;Magori
;;kpq;kp;Korupun-Sela
;;rbb;rb;Rumai Palaung
;;cfm;cf;Falam Chin
;;wsi;ws;Wusi
;;taj;ta;Eastern Tamang
;;ute;ut;Ute-Southern Paiute
;;nno;nn;Norwegian Nynorsk
;;amh;am;Amharic
;;ccc;cc;Chamicuro
;;mlr;ml;Vame
;;hun;hu;Hungarian
;;aye;ay;Ayere
;;thv;th;Tahaggart Tamahaq
;;grd;gr;Guruntum-Mbaaru
;;sko;sk;Seko Tengah
;;rob;ro;Tae'
;;mln;ml;Malango
;;elh;el;El Hugeirat
;;auj;au;Awjilah
;;chn;ch;Chinook jargon
;;zac;za;Ocotlán Zapotec
;;pdu;pd;Kayan
;;cfa;cf;Dijim-Bwilim
;;mdm;md;Mayogo
;;ccl;cc;Cutchi-Swahili
;;bdd;bd;Bunama
;;mmp;mm;Siawi
;;pey;pe;Petjo
;;trj;tr;Toram
;;lid;li;Nyindrou
;;bqs;bq;Bosngun
;;vbb;vb;Southeast Babar
;;aer;ae;Eastern Arrernte
;;mpc;mp;Mangarayi
;;ata;at;Pele-Ata
;;rbl;rb;Miraya Bikol
;;lik;li;Lika
;;ifb;if;Batad Ifugao
;;rmd;rm;Traveller Danish
;;ila;il;Ile Ape
;;nyh;ny;Nyigina
;;mby;mb;Memoni
;;gor;go;Gorontalo
;;nyv;ny;Nyulnyul
;;ndj;nd;Ndamba
;;bgm;bg;Baga Mboteni
;;ava;av;Avaric
;;zmd;zm;Maridan
;;wob;wo;Wè Northern
;;ppu;pp;Papora
;;xrw;xr;Karawa
;;spc;sp;Sapé
;;gha;gh;Ghadamès
;;tlq;tl;Tai Loi
;;srl;sr;Isirawa
;;llq;ll;Lolak
;;dug;du;Duruma
;;okx;ok;Okpe (Northwestern Edo)
;;xbr;xb;Kambera
;;ahi;ah;Tiagbamrin Aizi
;;ghc;gh;Hiberno-Scottish Gaelic
;;bkm;bk;Kom (Cameroon)
;;bjx;bj;Banao Itneg
;;bxm;bx;Mongolia Buriat
;;pgg;pg;Pangwali
;;srz;sr;Shahmirzadi
;;lnu;ln;Longuda
;;mqq;mq;Minokok
;;bjs;bj;Bajan
;;brq;br;Breri
;;ttd;tt;Tauade
;;nty;nt;Mantsi
;;aca;ac;Achagua
;;hba;hb;Hamba
;;hmf;hm;Hmong Don
;;gix;gi;Gilima
;;brw;br;Bellari
;;mmc;mm;Michoacán Mazahua
;;yaq;ya;Yaqui
;;nmi;nm;Nyam
;;pug;pu;Phuie
;;ays;ay;Sorsogon Ayta
;;tcs;tc;Torres Strait Creole
;;bsy;bs;Sabah Bisaya
;;wdd;wd;Wandji
;;txm;tx;Tomini
;;pks;pk;Pakistan Sign Language
;;msd;ms;Yucatec Maya Sign Language
;;siv;si;Sumariup
;;hae;ha;Eastern Oromo
;;zim;zi;Mesme
;;sih;si;Zire
;;ajt;aj;Judeo-Tunisian Arabic
;;bwk;bw;Bauwaki
;;leq;le;Lembena
;;pho;ph;Phunoi
;;sow;so;Sowanda
;;tkz;tk;Takua
;;nnw;nn;Southern Nuni
;;poo;po;Central Pomo
;;bsc;bs;Bassari
;;tbh;tb;Thurawal
;;mcr;mc;Menya
;;btm;bt;Batak Mandailing
;;hts;ht;Hadza
;;qvm;qv;Margos-Yarowilca-Lauricocha Quechua
;;nnx;nn;Ngong
;;wss;ws;Wasa
;;ssw;ss;Swati
;;wet;we;Perai
;;asu;as;Tocantins Asurini
;;bfn;bf;Bunak
;;mre;mr;Martha's Vineyard Sign Language
;;dux;du;Duungooma
;;aks;ak;Akaselem
;;xdy;xd;Malayic Dayak
;;izi;iz;Izi-Ezaa-Ikwo-Mgbo
;;tke;tk;Takwane
;;xin;xi;Xinca
;;xae;xa;Aequian
;;piv;pi;Pileni
;;cbi;cb;Chachi
;;cor;co;Cornish
;;dne;dn;Ndendeule
;;bfb;bf;Pauri Bareli
;;yol;yo;Yola
;;gia;gi;Kitja
;;mci;mc;Mese
;;seh;se;Sena
;;xop;xo;Kopar
;;nsa;ns;Sangtam Naga
;;ynu;yn;Yahuna
;;apd;ap;Sudanese Arabic
;;vem;ve;Vemgo-Mabas
;;mbk;mb;Malol
;;kqt;kq;Klias River Kadazan
;;mcw;mc;Mawa (Chad)
;;xoi;xo;Kominimung
;;oda;od;Odut
;;nkg;nk;Nekgini
;;mjn;mj;Ma (Papua New Guinea)
;;gvy;gv;Guyani
;;cku;ck;Koasati
;;njy;nj;Njyem
;;jay;ja;Yan-nhangu
;;woe;wo;Woleaian
;;ymd;ym;Muda
;;nex;ne;Neme
;;ben;be;Bengali
;;zax;za;Xadani Zapotec
;;brj;br;Bieria
;;nxl;nx;South Nuaulu
;;lkl;lk;Laeko-Libuat
;;orh;or;Oroqen
;;djc;dj;Dar Daju Daju
;;aix;ai;Aighon
;;ymi;ym;Moji
;;bfw;bf;Bondo
;;kpr;kp;Korafe-Yegha
;;blb;bl;Bilua
;;hvn;hv;Sabu
;;nat;na;Hungworo
;;zmm;zm;Marimanindji
;;srt;sr;Sauri
;;pnh;pn;Penrhyn
;;nif;ni;Nek
;;dju;dj;Kapriman
;;ynl;yn;Yangulam
;;xtr;xt;Early Tripuri
;;skk;sk;Sok
;;psw;ps;Port Sandwich
;;boy;bo;Bodo (Central African Republic)
;;mdf;md;Moksha
;;kof;ko;Kubi
;;hub;hu;Huambisa
;;mcd;mc;Sharanahua
;;fod;fo;Foodo
;;mab;ma;Yutanduchi Mixtec
;;esl;es;Egypt Sign Language
;;kxv;kx;Kuvi
;;kml;km;Lower Tanudan Kalinga
;;ljl;lj;Li'o
;;mka;mk;Mbre
;;phw;ph;Phangduwali
;;stb;st;Northern Subanen
;;gcf;gc;Guadeloupean Creole French
;;bav;ba;Vengo
;;ahb;ah;Axamb
;;xcb;xc;Cumbric
;;xua;xu;Alu Kurumba
;;num;nu;Niuafo'ou
;;crb;cr;Island Carib
;;xes;xe;Kesawai
;;sjo;sj;Xibe
;;kqw;kq;Kandas
;;llh;ll;Lamu
;;mio;mi;Pinotepa Nacional Mixtec
;;dta;dt;Daur
;;kwf;kw;Kwara'ae
;;mei;me;Midob
;;xwe;xw;Xwela Gbe
;;bqb;bq;Bagusa
;;gug;gu;Paraguayan Guaraní
;;btv;bt;Bateri
;;bon;bo;Bine
;;szg;sz;Sengele
;;abn;ab;Abua
;;avn;av;Avatime
;;uwa;uw;Kuku-Uwanh
;;mxe;mx;Mele-Fila
;;gar;ga;Galeya
;;bjc;bj;Bariji
;;bgd;bg;Rathwi Bareli
;;xla;xl;Kamula
;;slv;sl;Slovenian
;;hot;ho;Hote
;;anr;an;Andh
;;jrb;jr;Judeo-Arabic
;;diw;di;Northwestern Dinka
;;ags;ag;Esimbi
;;kkl;kk;Kosarek Yale
;;gyi;gy;Gyele
;;smu;sm;Somray
;;kjl;kj;Western Parbate Kham
;;xum;xu;Umbrian
;;aor;ao;Aore
;;omc;om;Mochica
;;ykr;yk;Yekora
;;ygr;yg;Yagaria
;;xmu;xm;Kamu
;;kay;ka;Kamayurá
;;gom;go;Goan Konkani
;;bzv;bz;Bebe
;;hbs;hb;Serbo-Croatian
;;sug;su;Suganga
;;dgo;dg;Dogri (individual language)
;;dad;da;Marik
;;cpu;cp;Pichis Ashéninka
;;zln;zl;Lianshan Zhuang
;;ipk;ip;Inupiaq
;;anz;an;Anem
;;nik;ni;Southern Nicobarese
;;nyk;ny;Nyaneka
;;mat;ma;San Francisco Matlatzinca
;;nuh;nu;Ndunda
;;aii;ai;Assyrian Neo-Aramaic
;;mga;mg;Middle Irish (900-1200)
;;daa;da;Dangaléat
;;age;ag;Angal
;;bms;bm;Bilma Kanuri
;;kwk;kw;Kwakiutl
;;isc;is;Isconahua
;;smg;sm;Simbali
;;arq;ar;Algerian Arabic
;;aaa;aa;Ghotuo
;;rkb;rk;Rikbaktsa
;;myl;my;Moma
;;quq;qu;Quinqui
;;rol;ro;Romblomanon
;;tpx;tp;Acatepec Me'phaa
;;tlf;tl;Telefol
;;ksl;ks;Kumalu
;;alu;al;'Are'are
;;wmo;wm;Wom (Papua New Guinea)
;;inn;in;Isinai
;;hug;hu;Huachipaeri
;;mkj;mk;Mokilese
;;gbm;gb;Garhwali
;;asg;as;Cishingini
;;fcs;fc;Quebec Sign Language
;;agn;ag;Agutaynen
;;van;va;Valman
;;kne;kn;Kankanaey
;;zbc;zb;Central Berawan
;;som;so;Somali
;;nwy;nw;Nottoway-Meherrin
;;cok;co;Santa Teresa Cora
;;key;ke;Kupia
;;cjs;cj;Shor
;;dix;di;Dixon Reef
;;rus;ru;Russian
;;nkk;nk;Nokuku
;;nhg;nh;Tetelcingo Nahuatl
;;cax;ca;Chiquitano
;;avu;av;Avokaya
;;tex;te;Tennet
;;mnw;mn;Mon
;;gct;gc;Colonia Tovar German
;;zam;za;Miahuatlán Zapotec
;;xka;xk;Kalkoti
;;lkc;lk;Kucong
;;bna;bn;Bonerate
;;tdj;td;Tajio
;;tak;ta;Tala
;;lbo;lb;Laven
;;dev;de;Domung
;;bdm;bd;Buduma
;;byh;by;Bhujel
;;tad;ta;Tause
;;deq;de;Dendi (Central African Republic)
;;wol;wo;Wolof
;;mbf;mb;Baba Malay
;;gvj;gv;Guajá
;;qxr;qx;Cañar Highland Quichua
;;rhp;rh;Yahang
;;zpn;zp;Santa Inés Yatzechi Zapotec
;;swp;sw;Suau
;;bss;bs;Akoose
;;puf;pu;Punan Merah
;;mfe;mf;Morisyen
;;ldk;ld;Leelau
;;bxf;bx;Bilur
;;brc;br;Berbice Creole Dutch
;;orr;or;Oruma
;;zps;zp;Coatlán Zapotec
;;skd;sk;Southern Sierra Miwok
;;css;cs;Southern Ohlone
;;pat;pa;Papitalai
;;ibn;ib;Ibino
;;gas;ga;Adiwasi Garasia
;;glk;gl;Gilaki
;;knl;kn;Keninjal
;;ndf;nd;Nadruvian
;;kgh;kg;Upper Tanudan Kalinga
;;djd;dj;Djamindjung
;;mnh;mn;Mono (Democratic Republic of Congo)
;;mjv;mj;Mannan
;;mtt;mt;Mota
;;dmc;dm;Dimir
;;tkq;tk;Tee
;;nsp;ns;Nepalese Sign Language
;;ank;an;Goemai
;;ndy;nd;Lutos
;;ded;de;Dedua
;;vkt;vk;Tenggarong Kutai Malay
;;pof;po;Poke
;;mhk;mh;Mungaka
;;jau;ja;Yaur
;;tiv;ti;Tiv
;;cam;ca;Cemuhî
;;xsh;xs;Shamang
;;lby;lb;Lamu-Lamu
;;mvb;mv;Mattole
;;rmm;rm;Roma
;;vmm;vm;Mitlatongo Mixtec
;;vai;va;Vai
;;usk;us;Usaghade
;;vrs;vr;Varisi
;;mto;mt;Totontepec Mixe
;;jud;ju;Worodougou
;;dos;do;Dogosé
;;hmm;hm;Central Mashan Hmong
;;kyr;ky;Kuruáya
;;azj;az;North Azerbaijani
;;zkt;zk;Kitan
;;ylb;yl;Yaleba
;;swb;sw;Maore Comorian
;;gno;gn;Northern Gondi
;;crm;cr;Moose Cree
;;mnq;mn;Minriq
;;yad;ya;Yagua
;;smn;sm;Inari Sami
;;bvy;bv;Baybayanon
;;szn;sz;Sula
;;yer;ye;Tarok
;;huv;hu;San Mateo Del Mar Huave
;;iko;ik;Olulumo-Ikom
;;rms;rm;Romanian Sign Language
;;tef;te;Teressa
;;pot;po;Potawatomi
;;dva;dv;Duau
;;ojg;oj;Eastern Ojibwa
;;snw;sn;Selee
;;mhr;mh;Eastern Mari
;;knw;kn;Kung-Ekoka
;;kma;km;Konni
;;xgl;xg;Galindan
;;tem;te;Timne
;;ntm;nt;Nateni
;;kec;ke;Keiga
;;bzm;bz;Bolondo
;;tkl;tk;Tokelau
;;dun;du;Dusun Deyah
;;bmv;bm;Bum
;;bbw;bb;Baba
;;wmx;wm;Womo
;;okj;ok;Oko-Juwoi
;;hhi;hh;Hoia Hoia
;;byo;by;Biyo
;;kvu;kv;Yinbaw Karen
;;igo;ig;Isebe
;;drt;dr;Drents
;;gma;gm;Gambera
;;nix;ni;Hema
;;ksr;ks;Borong
;;wum;wu;Wumbvu
;;xsa;xs;Sabaean
;;bpm;bp;Biyom
;;mub;mu;Mubi
;;dge;dg;Degenan
;;yrs;yr;Yarsun
;;ime;im;Imeraguen
;;dsh;ds;Daasanach
;;bsl;bs;Basa-Gumna
;;lwg;lw;Wanga
;;nbr;nb;Numana-Nunku-Gbantu-Numbu
;;fud;fu;East Futuna
;;wbi;wb;Vwanji
;;bqk;bq;Banda-Mbrès
;;shm;sh;Shahrudi
;;ofo;of;Ofo
;;ncb;nc;Central Nicobarese
;;bbq;bb;Bamali
;;ymq;ym;Qila Muji
;;tye;ty;Kyenga
;;kyy;ky;Kambaira
;;mje;mj;Muskum
;;kur;ku;Kurdish
;;mfn;mf;Cross River Mbembe
;;afi;af;Akrukay
;;kdf;kd;Mamusi
;;xac;xa;Kachari
;;kxe;kx;Kakihum
;;ekg;ek;Ekari
;;kln;kl;Kalenjin
;;dnw;dn;Western Dani
;;plt;pl;Plateau Malagasy
;;drc;dr;Minderico
;;yun;yu;Bena (Nigeria)
;;kxo;kx;Kanoé
;;lir;li;Liberian English
;;ohu;oh;Old Hungarian
;;jbe;jb;Judeo-Berber
;;csl;cs;Chinese Sign Language
;;xao;xa;Khao
;;nsg;ns;Ngasa
;;kdn;kd;Kunda
;;cje;cj;Chru
;;zwa;zw;Zay
;;kwp;kw;Kodia
;;ykm;yk;Kap
;;ptw;pt;Pentlatch
;;xbm;xb;Middle Breton
;;tmo;tm;Temoq
;;kej;ke;Kadar
;;rei;re;Reli
;;kvp;kv;Kompane
;;sbg;sb;Seget
;;dlm;dl;Dalmatian
;;rog;ro;Northern Roglai
;;aih;ai;Ai-Cham
;;nxa;nx;Nauete
;;jiu;ji;Youle Jinuo
;;kbe;kb;Kanju
;;zpi;zp;Santa María Quiegolani Zapotec
;;fie;fi;Fyer
;;erg;er;Sie
;;tsq;ts;Thai Sign Language
;;odu;od;Odual
;;rac;ra;Rasawa
;;bcp;bc;Bali (Democratic Republic of Congo)
;;ztx;zt;Zaachila Zapotec
;;zia;zi;Zia
;;bcw;bc;Bana
;;npo;np;Pochuri Naga
;;aey;ae;Amele
;;mta;mt;Cotabato Manobo
;;mtd;mt;Mualang
;;kms;km;Kamasau
;;nkv;nk;Nyika (Malawi and Zambia)
;;frt;fr;Fortsenal
;;vol;vo;Volapük
;;gso;gs;Southwest Gbaya
;;dmv;dm;Dumpas
;;sea;se;Semai
;;nrm;nr;Narom
;;ipo;ip;Ipiko
;;kbp;kb;Kabiyè
;;akj;ak;Aka-Jeru
;;kth;kt;Karanga
;;mak;ma;Makasar
;;tay;ta;Atayal
;;noj;no;Nonuya
