#;$id;Valeur;Label court;Label long
;;fmt/336;Graphic Workshop for Windows Thumbnail File;Graphic Workshop for Windows Thumbnail File
;;fmt/337;Motion JPEG2000;Motion JPEG2000
;;fmt/338;Interchange File Format Interleaved Bitmap;Interchange File Format Interleaved Bitmap
;;fmt/339;Interchange File Format 8-bit Sampled Voice;Interchange File Format 8-bit Sampled Voice
;;fmt/340;Lotus WordPro Document;Lotus WordPro Document (Version=97/Millennium)
;;fmt/341;Macintosh PICT Image;Macintosh PICT Image (Version=2.0)
;;fmt/342;Microsoft Project Export File;Microsoft Project Export File (Version=4.0)
;;fmt/343;Microsoft Project Export File;Microsoft Project Export File (Version=3.0)
;;fmt/344;Microsoft Windows Enhanced Metafile;Microsoft Windows Enhanced Metafile (Version=2.0)
;;fmt/345;Microsoft Windows Enhanced Metafile;Microsoft Windows Enhanced Metafile (Version=3.0)
;;fmt/346;Microsoft Word for Macintosh Document;Microsoft Word for Macintosh Document (Version=1.0)
;;fmt/347;MPEG 1/2 Audio Layer I;MPEG 1/2 Audio Layer I
;;fmt/348;Paint Shop Pro Image;Paint Shop Pro Image (Version=9)
;;fmt/349;Paint Shop Pro Image;Paint Shop Pro Image (Version=10)
;;fmt/350;Paradox Database Table;Paradox Database Table (Version=3.0)
;;fmt/351;Paradox Database Table;Paradox Database Table (Version=4.0)
;;fmt/352;Paradox Database Table;Paradox Database Table (Version=5.0)
;;fmt/353;Tagged Image File Format;Tagged Image File Format
;;fmt/354;Acrobat PDF/A - Portable Document Format;Acrobat PDF/A - Portable Document Format (Version=1b)
;;fmt/355;Rich Text Format;Rich Text Format (Version=1.9)
;;fmt/356;Adaptive Multi-Rate Audio;Adaptive Multi-Rate Audio
;;fmt/357;3GPP Audio/Video File;3GPP Audio/Video File
;;fmt/358;Internet Data Query File;Internet Data Query File
;;fmt/359;Microsoft Front Page Binary Tree Index;Microsoft Front Page Binary Tree Index
;;fmt/360;pulse EKKO data file;pulse EKKO data file
;;fmt/361;pulse EKKO header file;pulse EKKO header file
;;fmt/362;GSSI SIR-10 RADAN data file;GSSI SIR-10 RADAN data file
;;fmt/363;SEG Y Data Exchange Format;SEG Y Data Exchange Format (Version=Generic)
;;fmt/364;National Imagery Transmission Format;National Imagery Transmission Format (Version=1.0)
;;fmt/365;National Imagery Transmission Format;National Imagery Transmission Format (Version=2.0)
;;fmt/366;National Imagery Transmission Format;National Imagery Transmission Format (Version=2.1)
;;fmt/367;ESRI World File Format;ESRI World File Format
